candidate_name,race_type,race,raised,spent,cash_on_hand,last_report,party,status,race_link
G K Butterfield,House,North Carolina District 01,665761,691924,617734,2018-09-30,Democrat,Incumbent,https://www.opensecrets.org/races/summary?cycle=2018&id=NC01
Roger Allison,House,North Carolina District 01,9215,6228,2987,2018-06-30,Republican,Challenger,https://www.opensecrets.org/races/summary?cycle=2018&id=NC01
George Holding,House,North Carolina District 02,1770327,1530521,253285,2018-06-30,Republican,Incumbent,https://www.opensecrets.org/races/summary?cycle=2018&id=NC02
Linda Coleman,House,North Carolina District 02,299073,141762,157311,2018-06-30,Democrat,Challenger,https://www.opensecrets.org/races/summary?cycle=2018&id=NC02
Japheth Matemu,House,North Carolina District 02,8867,7505,1363,2018-06-30,Third party,Challenger,https://www.opensecrets.org/races/summary?cycle=2018&id=NC02
Walter B Jones Jr.,House,North Carolina District 03,497608,475024,127728,2018-06-30,Republican,Incumbent,https://www.opensecrets.org/races/summary?cycle=2018&id=NC03
David Price,House,North Carolina District 04,609780,628893,196450,2018-06-30,Democrat,Incumbent,https://www.opensecrets.org/races/summary?cycle=2018&id=NC04
Barbara Howe,House,North Carolina District 04,2967,2762,205,2018-06-30,Third party,Challenger,https://www.opensecrets.org/races/summary?cycle=2018&id=NC04
Virginia Foxx,House,North Carolina District 05,1744926,1027866,3144348,2018-06-30,Republican,Incumbent,https://www.opensecrets.org/races/summary?cycle=2018&id=NC05
Denise Darcel Adams,House,North Carolina District 05,194322,174755,19567,2018-06-30,Democrat,Challenger,https://www.opensecrets.org/races/summary?cycle=2018&id=NC05
Mark Walker,House,North Carolina District 06,971227,442804,754006,2018-06-30,Republican,Incumbent,https://www.opensecrets.org/races/summary?cycle=2018&id=NC06
Ryan Watts,House,North Carolina District 06,206549,124886,81663,2018-06-30,Democrat,Challenger,https://www.opensecrets.org/races/summary?cycle=2018&id=NC06
David Rouzer,House,North Carolina District 07,1156152,444974,1379308,2018-06-30,Republican,Incumbent,https://www.opensecrets.org/races/summary?cycle=2018&id=NC07
Kyle Horton,House,North Carolina District 07,342878,241485,101393,2018-06-30,Democrat,Challenger,https://www.opensecrets.org/races/summary?cycle=2018&id=NC07
Richard Hudson,House,North Carolina District 08,1741334,702963,1131202,2018-06-30,Republican,Incumbent,https://www.opensecrets.org/races/summary?cycle=2018&id=NC08
Frank McNeill,House,North Carolina District 08,358565,288787,69778,2018-06-30,Democrat,Challenger,https://www.opensecrets.org/races/summary?cycle=2018&id=NC08
Dan McCready,House,North Carolina District 09,2662380,858574,1803805,2018-06-30,Democrat,Challenger,https://www.opensecrets.org/races/summary?cycle=2018&id=NC09
Mark Harris,House,North Carolina District 09,928116,595537,295658,2018-06-30,Republican,Challenger,https://www.opensecrets.org/races/summary?cycle=2018&id=NC09
Patrick McHenry,House,North Carolina District 10,2936073,2599088,1732793,2018-06-30,Republican,Incumbent,https://www.opensecrets.org/races/summary?cycle=2018&id=NC10
David Wilson Brown,House,North Carolina District 10,39928,36446,3550,2018-06-30,Democrat,Challenger,https://www.opensecrets.org/races/summary?cycle=2018&id=NC10
Mark R Meadows,House,North Carolina District 11,784950,529812,463297,2018-06-30,Republican,Incumbent,https://www.opensecrets.org/races/summary?cycle=2018&id=NC11
Phillip Price,House,North Carolina District 11,56523,28851,27672,2018-06-30,Democrat,Challenger,https://www.opensecrets.org/races/summary?cycle=2018&id=NC11
Alma Adams,House,North Carolina District 12,398810,251343,254322,2018-06-30,Democrat,Incumbent,https://www.opensecrets.org/races/summary?cycle=2018&id=NC12
Ted Budd,House,North Carolina District 13,1154387,395036,778943,2018-06-30,Republican,Incumbent,https://www.opensecrets.org/races/summary?cycle=2018&id=NC13
Kathy Manning,House,North Carolina District 13,1932258,586905,1345353,2018-06-30,Democrat,Challenger,https://www.opensecrets.org/races/summary?cycle=2018&id=NC13
