name,country_parent,total,dems,repubs,year
7-Eleven,Japan/Seven & I Holdings,"$1,000",$0,"$1,000",2020
ABB Group (ABB Group),Switzerland/Asea Brown Boveri,"$1,000","$1,000",$0,2020
Accenture (Accenture),Ireland/Accenture plc,"$80,000","$48,000","$32,000",2020
Air Liquide America,France/L'Air Liquide SA,"$16,500","$10,000","$6,500",2020
Airbus Group,Netherlands/Airbus Group,"$108,500","$43,500","$65,000",2020
Alkermes Inc,Ireland/Alkermes Plc,"$62,750","$23,250","$39,500",2020
Allergan PLC (Allergan PLC),Ireland/Allergan PLC,"$111,000","$6,000","$105,000",2020
Allianz of America (Allianz),Germany/Allianz AG Holding,"$42,750","$18,100","$24,650",2020
Anheuser-Busch (Anheuser-Busch InBev),Belgium/Anheuser-Busch InBev,"$239,000","$119,500","$119,500",2020
AON Corp (AON plc),UK/AON PLC,"$37,500","$16,000","$21,500",2020
APL Maritime (CMA CGM),France/CMA CGM SA,"$14,000","$8,500","$5,500",2020
Arcadis US (Arcadis NV),Netherlands/Arcadis NV,$0,$0,$0,2020
ArcelorMittal USA,Luxembourg/ArcelorMittal,"$31,500","$12,000","$19,500",2020
Arch Capital Group (US),UK/Arch Capital Group,"$7,000","$3,500","$3,500",2020
Arkema Inc,France/Arkema,"$46,500","$18,000","$28,500",2020
Ash Grove (CRH Plc),Ireland/CRH PLC,$0,$0,$0,2020
Ashton Woods Corp,Canada/Great Gulf Group,$0,$0,$0,2020
Assured Guaranty Municipal Corp (Assured Guaranty US Holdings),UK/Assured Guaranty Ltd,"$80,000","$45,600","$34,400",2020
Astellas US,Japan/Astellas Pharma,"$80,000","$38,000","$42,000",2020
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca PLC,"$135,500","$61,500","$74,000",2020
Atkins North America,UK/WS Atkins PLC,"$9,700",$0,"$9,700",2020
Austal USA,Australia/Austal,"$8,900","$2,700","$6,200",2020
Avangrid Inc (Iberdrola SA),Spain/Iberdrola SA,"$37,500","$17,000","$20,500",2020
AXA Equitable Life Insurance (AXA),France/AXA,"$63,000","$24,000","$39,000",2020
Bacardi USA,UK/Bacardi Ltd,"$21,000","$7,500","$11,500",2020
BAE Systems (BAE Systems),UK/BAE Systems,"$428,000","$199,500","$228,500",2020
Barclays Group US,UK/Barclays plc,"$44,500","$20,500","$24,000",2020
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$20,000","$12,000","$8,000",2020
BASF Corp,Germany/BASF SE,"$204,000","$99,500","$104,500",2020
Bayer Corp (Bayer AG),Germany/Bayer AG,"$123,000","$48,500","$74,500",2020
Bayer CropScience (Bayer AG),Germany/Bayer AG,"-$4,500","-$4,500",$0,2020
BBVA USA,Spain/Banco Bilbao Vizcaya Argentaria,"$176,500","$65,000","$111,500",2020
Beam Suntory (Suntory Holdings),Japan/Suntory Holdings,"$20,831","$12,000","$8,831",2020
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,"$91,800","$45,300","$46,500",2020
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,"$2,500","$2,500",$0,2020
Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$54,500","$25,000","$29,500",2020
Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$35,000","$23,000","$12,000",2020
BP,UK/BP PLC,"$194,500","$65,000","$129,500",2020
Bridgestone Americas,Japan/Bridgestone Corp,"$7,500","$3,500","$4,000",2020
Bumble Bee Foods,UK/Lion Capital,"$2,500","$2,500",$0,2020
"Burson, Cohn & Wolfe (WPP Group)",UK/WPP Group,"$24,500","$8,500","$16,000",2020
Buzzi Unicem USA (Buzzi Unicem SpA),Italy/Buzzi Unicem SpA,$500,$0,$500,2020
CalPortland Co,Japan/Taiheiyo Cement Co,"$52,500","$10,000","$42,500",2020
Cardtronics Inc,UK/Cardtronics Plc,"$5,000","$4,000","$1,000",2020
Carmeuse Lime,Netherlands/Carmeuse Holding SA,$0,$0,$0,2020
Case New Holland,Netherlands/CNH Global,"$58,500","$2,500","$56,000",2020
CEMEX Inc,Mexico/CEMEX SA de CV,"$84,500","$34,000","$50,500",2020
CGI Technologies & Solutions,Canada/Groupe CGI,"$25,500","$18,500","$7,000",2020
Chicago Bridge & Iron (McDermott International),Panama/McDermott International,"$5,470",$470,"$5,000",2020
Chubb Group of Insurance Companies,Switzerland/Chubb Ltd,"$108,000","$55,500","$52,500",2020
CIBC Bancorp,Canada/Canadian Imperial Bank of Commerce,"$3,000","$2,000","$1,000",2020
Cirrus Aircraft Corp,China/China Aviation Industry General Aircraft,"$1,500","$1,500",$0,2020
Cobham Management Services,UK/Cobham PLC,"$64,000","$13,500","$50,500",2020
Continental Automotive Systems (Continental AG),Germany/Continental AG,"$37,500","$18,500","$19,000",2020
Covestro LLC (Covestro AG),Germany/Covestro AG,"$20,500","$2,000","$18,500",2020
Credit Suisse Securities,Switzerland/Credit Suisse Group,"$22,000","$6,000","$16,000",2020
CRH Americas (CRH PLC),Ireland/CRH PLC,"$302,500","$78,500","$224,000",2020
CSL Behring,Australia/CSL Ltd,"$37,500","$14,500","$23,000",2020
Daimler Trucks North America (Daimler AG),Germany/Daimler AG,"$2,500",$0,"$2,500",2020
Delhaize America,Belgium/Ahold Delhaize,"$5,500","$2,000","$3,500",2020
Deutsche Bank Securities,Germany/Deutsche Bank AG,$0,$0,$0,2020
Diageo North America (Diageo PLC),UK/Diageo PLC,"$29,477","$17,234","$12,243",2020
Direct Energy Inc,UK/Centrica Plc,"$4,000","$2,500","$1,500",2020
Eaton Corp (Eaton Corp),Ireland/Eaton Plc,"$25,500","$11,000","$14,500",2020
EDF Renewables (EDF Group),France/EDF Group,"$15,000","$10,000","$5,000",2020
EDP Renewables NA,Portugal/EDP Renovaveis,"$12,000","$6,000","$6,000",2020
Eisai Inc,Japan/Eisai Co Ltd,"$7,500","$2,500","$5,000",2020
Elbit Systems of America,Israel/Elbit Systems Ltd,"$38,700","$7,600","$31,100",2020
Elekta Inc (Elekta AB),Sweden/Elekta AB,"$42,500","$22,000","$20,500",2020
Embraer Aircraft Holdings,Brazil/Embraer-Empresa Brasileira de Aeronautic,"$26,000","$8,000","$18,000",2020
EMD Serono Inc,Germany/Merck KGaA,"$67,500","$33,000","$34,500",2020
Enbridge Inc,Canada/Enbridge Inc,"$24,500","$12,000","$12,500",2020
Endo Pharmaceuticals,Ireland/Endo International,$0,$0,$0,2020
ENGIE North America,France/ENGIE,$0,$0,$0,2020
Ericsson Inc,Sweden/Telefonaktiebolaget LM Ericsson,"$18,500","$9,500","$9,000",2020
Experian,UK/Experian plc,"$352,500","$147,500","$205,000",2020
Farmers Group (Zurich Insurance Group),Switzerland/Zurich Financial Services AG,"$118,000","$43,500","$74,500",2020
First Hawaiian Bank (BNP Paribas),France/BNP Paribas,$0,$0,$0,2020
Florida East Coast Industries (SoftBank Corp),Japan/SoftBank Corp,"$43,000","$14,500","$28,500",2020
Florida East Coast Railway (Grupo Mexico),Mexico/Grupo Mexico,"$1,400","$1,400",$0,2020
Framatome (EDF Group),France/EDF Group,"$18,500","$14,000","$4,500",2020
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$197,000","$113,500","$83,500",2020
G4S Secure Solutions,UK/G4S plc,$0,$0,$0,2020
Garmin International (Garmin Ltd),Switzerland/Garmin Ltd,"$10,500",$0,"$10,500",2020
GE Appliances,China/Haier Group,"$8,500","$5,000","$3,500",2020
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$282,000","$131,000","$151,000",2020
General Cigar Co,Sweden/Scandinavian Tobacco Group,$0,$0,$0,2020
Gerdau Ameristeel Corp,Brazil/Gerdau,"$3,000",$0,"$3,000",2020
Glanbia Foods,Ireland/Glanbia PLC,$0,$0,$0,2020
GlaxoSmithKline,UK/GlaxoSmithKline,"$91,500","$39,500","$52,000",2020
Glover Park Group (WPP Group),UK/WPP Group,"$71,700","$54,200","$17,500",2020
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$8,000","$1,000","$7,000",2020
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,$0,$0,$0,2020
Greyhound Lines,UK/FirstGroup PLC,"$10,000","$8,500","$1,500",2020
