name,country_parent,total,dems,repubs
7-Eleven,Japan/Seven & I Holdings,"$2,000","$1,000","$1,000"
ABB Group (ABB Group),Switzerland/Asea Brown Boveri,"$13,800","$6,800","$7,000"
Accenture (Accenture),Ireland/Accenture plc,"$82,000","$49,000","$33,000"
Air Liquide America,France/L'Air Liquide SA,"$24,800","$11,800","$13,000"
Airbus Group,Netherlands/Airbus Group,"$175,500","$72,000","$103,500"
Alkermes Inc,Ireland/Alkermes Plc,"$89,750","$30,750","$59,000"
Allianz of America (Allianz),Germany/Allianz AG Holding,"$64,500","$31,350","$33,150"
AMG Vanadium,Netherlands/AMG Advanced Metallurgical Group,$500,$0,$500
Anheuser-Busch (Anheuser-Busch InBev),Belgium/Anheuser-Busch InBev,"$301,000","$165,000","$136,000"
AON Corp (AON plc),UK/AON PLC,"$81,000","$39,500","$41,500"
APL Maritime (CMA CGM),France/CMA CGM SA,"$22,500","$13,000","$9,500"
Aptiv PLC,Ireland/Aptiv PLC,$0,$0,$0
Arcadis US (Arcadis NV),Netherlands/Arcadis NV,$0,$0,$0
ArcelorMittal USA,Luxembourg/ArcelorMittal,"$53,500","$23,000","$30,500"
Arch Capital Group (US),UK/Arch Capital Group,"$7,000","$3,500","$3,500"
Arkema Inc,France/Arkema,"$62,500","$24,000","$38,500"
Ash Grove (CRH Plc),Ireland/CRH PLC,$0,$0,$0
Ashton Woods Corp,Canada/Great Gulf Group,$0,$0,$0
Assured Guaranty Municipal Corp (Assured Guaranty US Holdings),UK/Assured Guaranty Ltd,"$87,800","$50,900","$36,900"
Astellas US,Japan/Astellas Pharma,"$186,000","$82,500","$103,500"
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK/AstraZeneca PLC,"$253,500","$100,500","$153,000"
Atkins North America,UK/WS Atkins PLC,"$36,700","$6,500","$30,200"
Austal USA,Australia/Austal,"$28,400","$6,200","$22,200"
Avangrid Inc (Iberdrola SA),Spain/Iberdrola SA,"$74,000","$39,000","$35,000"
Bacardi USA,UK/Bacardi Ltd,"$38,350","$16,000","$20,350"
BAE Systems (BAE Systems),UK/BAE Systems,"$660,000","$341,000","$317,000"
Barclays Group US,UK/Barclays plc,"$110,500","$46,000","$64,500"
Barrick Goldstrike Mines,Canada/Barrick Gold Corp,"$29,500","$19,000","$10,500"
BASF Corp,Germany/BASF SE,"$407,750","$233,750","$174,000"
Bayer Corp (Bayer AG),Germany/Bayer AG,"$299,500","$123,000","$176,500"
Bayer CropScience (Bayer AG),Germany/Bayer AG,"-$4,500","-$4,500",$0
BBVA USA,Spain/Banco Bilbao Vizcaya Argentaria,"$368,000","$129,000","$239,000"
BCW Global (WPP Group),UK/WPP Group,"$37,500","$13,000","$23,500"
Beam Suntory (Suntory Holdings),Japan/Suntory Holdings,"$32,897","$19,066","$13,831"
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,"$4,000","$4,000",$0
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,"$160,760","$73,760","$87,000"
Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$122,500","$69,000","$53,500"
Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$43,500","$27,000","$16,500"
BP,UK/BP PLC,"$203,000","$71,000","$132,000"
Bridgestone Americas,Japan/Bridgestone Corp,"$14,000","$3,500","$10,500"
Bumble Bee Foods (FCF Co),Taiwan/FCF Co,"$2,500","$2,500",$0
Buzzi Unicem USA (Buzzi Unicem SpA),Italy/Buzzi Unicem SpA,$500,$0,$500
CalPortland Co,Japan/Taiheiyo Cement Co,"$158,500","$17,500","$141,000"
Cardtronics Inc,UK/Cardtronics Plc,"$11,000","$6,500","$4,500"
Carmeuse Lime,Netherlands/Carmeuse Holding SA,$0,$0,$0
Case New Holland,Netherlands/CNH Global,"$102,000","$7,000","$95,000"
CEMEX Inc,Mexico/CEMEX SA de CV,"$185,500","$54,500","$131,000"
CGI Technologies & Solutions,Canada/Groupe CGI,"$34,500","$27,500","$7,000"
Chicago Bridge & Iron (McDermott International),Panama/McDermott International,"$5,470",$470,"$5,000"
Chubb Group of Insurance Companies,Switzerland/Chubb Ltd,"$173,500","$86,000","$87,500"
CIBC Bancorp,Canada/Canadian Imperial Bank of Commerce,"$5,000","$3,000","$2,000"
Cirrus Aircraft Corp,China/China Aviation Industry General Aircraft,"$1,500","$1,500",$0
Cobham Management Services,UK/Cobham PLC,"$64,000","$13,500","$50,500"
Continental Automotive Systems (Continental AG),Germany/Continental AG,"$63,000","$34,500","$28,500"
Covestro LLC (Covestro AG),Germany/Covestro AG,"$38,500","$8,500","$30,000"
Credit Suisse Securities,Switzerland/Credit Suisse Group,"$49,500","$22,500","$27,000"
CRH Americas (CRH PLC),Ireland/CRH PLC,"$530,500","$193,500","$337,000"
CSL Behring,Australia/CSL Ltd,"$77,800","$25,500","$52,300"
Daimler Trucks North America (Daimler AG),Germany/Daimler AG,"$2,500",$0,"$2,500"
Delek US Holdings,Israel/Delek Group,$0,$0,$0
Delhaize America,Belgium/Ahold Delhaize,"$24,000","$8,500","$15,500"
Deutsche Bank Securities,Germany/Deutsche Bank AG,$0,$0,$0
Diageo North America (Diageo PLC),UK/Diageo PLC,"$45,563","$26,595","$18,968"
Direct Energy Inc,UK/Centrica Plc,"$18,800","$12,500","$6,300"
Eaton Corp (Eaton Corp),Ireland/Eaton Plc,"$34,500","$14,000","$20,500"
EDF Renewables (EDF Group),France/EDF Group,"$33,500","$20,000","$13,500"
EDP Renewables NA,Portugal/EDP Renovaveis,"$20,000","$10,000","$10,000"
Eisai Inc,Japan/Eisai Co Ltd,"$12,500","$2,500","$10,000"
Elbit Systems of America,Israel/Elbit Systems Ltd,"$51,450","$9,100","$42,350"
Elekta Inc (Elekta AB),Sweden/Elekta AB,"$70,500","$35,000","$35,500"
Embraer Aircraft Holdings,Brazil/Embraer-Empresa Brasileira de Aeronautic,"$46,500","$13,500","$33,000"
EMD Serono Inc,Germany/Merck KGaA,"$139,000","$65,500","$73,500"
Enbridge Inc,Canada/Enbridge Inc,"$47,500","$15,500","$32,000"
Endo Pharmaceuticals,Ireland/Endo International,"$109,000","$53,500","$55,500"
ENGIE North America,France/ENGIE,"$9,500","$6,000","$3,500"
Equitable Holdings (AXA),France/AXA,"$133,500","$56,500","$77,000"
Ericsson Inc,Sweden/Telefonaktiebolaget LM Ericsson,"$54,000","$25,000","$29,000"
Experian,UK/Experian,"$644,000","$236,000","$408,000"
Farmers Group (Zurich Insurance Group),Switzerland/Zurich Financial Services AG,"$209,500","$79,000","$130,500"
First Hawaiian Bank (BNP Paribas),France/BNP Paribas,"$6,000","$6,000",$0
Florida East Coast Industries (SoftBank Corp),Japan/SoftBank Corp,"$60,500","$16,500","$44,000"
Florida East Coast Railway (Grupo Mexico),Mexico/Grupo Mexico,"$3,469","$3,169",$300
Framatome (EDF Group),France/EDF Group,"$41,000","$25,500","$15,500"
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$407,500","$206,500","$201,000"
G4S Secure Solutions,UK/G4S plc,$0,$0,$0
Garmin International (Garmin Ltd),Switzerland/Garmin Ltd,"$23,500","$1,000","$22,500"
GE Appliances,China/Haier Group,"$19,500","$6,000","$13,500"
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$360,500","$180,000","$180,500"
General Cigar Co,Sweden/Scandinavian Tobacco Group,"$2,500",$0,"$2,500"
Gerdau Ameristeel Corp,Brazil/Gerdau,"$4,000",$0,"$4,000"
Glanbia Foods (Glanbia PLC),Ireland/Glanbia PLC,$0,$0,$0
Glanbia Performance Nutrition (Glanbia PLC),Ireland/Glanbia plc,$0,$0,$0
GlaxoSmithKline,UK/GlaxoSmithKline,"$145,500","$59,500","$86,000"
Glover Park Group (WPP Group),UK/WPP Group,"$122,951","$88,951","$34,000"
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$14,000","$4,500","$9,500"
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,$0,$0,$0
Greyhound Lines,UK/FirstGroup PLC,"$12,000","$9,500","$2,500"
Headwaters Inc,Australia/Boral Ltd,"$17,000","$2,000","$15,000"
Heineken USA,Netherlands/L'Arche Green NV,"$37,500","$18,500","$19,000"
Herbalife Nutrition,UK/Herbalife Ltd,"$97,500","$66,500","$31,000"
Horizon Therapeutics,Ireland/Horizon Pharma PLC,"$123,500","$53,000","$70,500"
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$2,000",$0,"$2,000"
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$142,500","$54,000","$88,500"
IBI Group Engineering Services,Canada/IBI Group,$0,$0,$0
IDEMIA Identity & Security (IDEMIA),France/Safran SA,"$20,500","$11,000","$9,500"
